Huge Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
75000,50000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
2482705,2036544,178681,331758,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
402569,581912,178756,330856,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
76409028725,16942733655,178559,331682,173534,320089,50138,95111,2142403,45286,6,1,[1=50128/4=1/6=1]
1751293,1840818,178583,331696,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1764458,1434738,178670,331214,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
54710479320,23148299350,178951,331804,174003,320397,50392,95443,1366844,36975,3,1,[1=50387/2=1/3=1]
718832,1870367,178433,331333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2797797,111759,178900,332228,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
45742972739,15218143056,178670,331526,173748,320153,50284,95361,1905559,47618,2,1,[1=50280/2=2]
3051158,1726718,178764,331488,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
67582,1584238,178661,331628,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3406918,1763580,178793,331896,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2628402,1901672,178470,331240,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
551777,1814487,178703,331933,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
927138,2528346,178403,331115,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
31889,170565,178228,330989,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1246034,1582483,178300,331123,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
